Name,Team,Nationalaty,Position,age,Matches Played,Matches Starts,Minutes / Div By 90,Goals,Asissts,Yellows,Reds,Total Shots,Passes Attemted,Passes Total Distance,Short Passes,Medium Passes,Long Passes,Cross Passes,Head Pases,Tackeled,Tackeled Dribbels,Pressure Applying,Blocks,Shots Blocks,Clearence,Touches,Touches Defencive Penalty Area,Touches Defencive 3RD,Touches Mid 3RD,Touches Attacking 3RD,Touches Attacking Penalty Area,Touches Live Game,Dribbels Succes,Dribbels Attempted,Carries,Carries To Distance,Carries Proggresive,Carries Proggresive Foword,Carries Tackeled,Reciving Passes,Fouls Commited,Fouls Drawn,Tackele Won,looseBallRecovered,Aerial Duals Won,Aerial Duals Lost
Jeremy Ngakia,Watford,eng ENG,DF,21-109,12,6,7.2,0.0,0.0,0.0,0.0,3.0,249.0,3407.0,90.0,100.0,48.0,18.0,16.0,20.0,12.0,106.0,8.0,1.0,8.0,305.0,22.0,120.0,123.0,80.0,2.0,248.0,8.0,13.0,152.0,712.0,400.0,15.0,4.0,150.0,13.0,3.0,15.0,50.0,15.0,13.0
Jeremy Sarmiento,Brighton,ec ECU,FW,19-192,4,2,1.2,0.0,0.0,0.0,0.0,0.0,7.0,76.0,5.0,2.0,0.0,0.0,1.0,2.0,0.0,10.0,2.0,1.0,0.0,16.0,2.0,6.0,7.0,4.0,0.0,16.0,1.0,1.0,11.0,103.0,65.0,1.0,1.0,9.0,1.0,5.0,1.0,2.0,0.0,0.0
Jesse Lingard,Manchester Utd,eng ENG,FW,29-010,12,2,3.1,2.0,1.0,0.0,0.0,9.0,88.0,1134.0,47.0,33.0,3.0,5.0,1.0,4.0,1.0,55.0,1.0,0.0,1.0,118.0,0.0,13.0,60.0,53.0,9.0,116.0,3.0,6.0,81.0,383.0,222.0,10.0,4.0,129.0,3.0,2.0,3.0,13.0,1.0,1.0
Jesuran Rak Sakyi,Crystal Palace,eng ENG,MF,19-081,1,0,0.2,0.0,0.0,0.0,0.0,0.0,12.0,136.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,1.0,8.0,4.0,0.0,11.0,0.0,0.0,8.0,33.0,4.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0
Joachim Andersen,Crystal Palace,dk DEN,DF,25-208,14,12,12.5,0.0,1.0,3.0,0.0,2.0,767.0,16426.0,143.0,371.0,247.0,3.0,33.0,13.0,6.0,53.0,12.0,4.0,61.0,890.0,170.0,527.0,393.0,24.0,10.0,866.0,1.0,3.0,567.0,3169.0,1526.0,25.0,3.0,642.0,7.0,4.0,8.0,87.0,24.0,17.0
Joe Gelhardt,Leeds United,eng ENG,FW,19-235,8,2,4.0,1.0,0.0,2.0,0.0,9.0,53.0,507.0,27.0,14.0,5.0,0.0,2.0,1.0,1.0,77.0,1.0,0.0,1.0,98.0,1.0,9.0,55.0,44.0,19.0,87.0,9.0,16.0,80.0,401.0,242.0,12.0,7.0,110.0,8.0,16.0,1.0,21.0,1.0,12.0
Joe Gomez,Liverpool,eng ENG,DF,24-216,10,4,4.8,0.0,0.0,0.0,0.0,1.0,144.0,2575.0,41.0,74.0,25.0,0.0,7.0,2.0,2.0,16.0,2.0,1.0,9.0,160.0,7.0,55.0,99.0,13.0,0.0,147.0,3.0,3.0,109.0,460.0,253.0,6.0,0.0,108.0,3.0,3.0,3.0,23.0,8.0,2.0
Joe Rodon,Tottenham,wls WAL,DF,24-064,6,4,4.5,0.0,0.0,0.0,0.0,0.0,18.0,370.0,4.0,11.0,3.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,8.0,31.0,10.0,18.0,14.0,1.0,0.0,31.0,0.0,0.0,16.0,49.0,5.0,0.0,0.0,17.0,0.0,1.0,0.0,3.0,1.0,2.0
Joe White,Newcastle Utd,eng ENG,MF,19-085,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Willock,Newcastle Utd,eng ENG,MF,22-127,17,13,11.8,0.0,0.0,0.0,0.0,11.0,302.0,4261.0,143.0,108.0,39.0,10.0,14.0,35.0,14.0,237.0,22.0,3.0,8.0,447.0,13.0,125.0,209.0,151.0,23.0,438.0,13.0,35.0,318.0,2038.0,1169.0,42.0,18.0,318.0,20.0,15.0,23.0,80.0,7.0,17.0
Joel Ward,Crystal Palace,eng ENG,DF,32-057,17,17,17.0,0.0,0.0,5.0,0.0,8.0,997.0,15112.0,395.0,415.0,161.0,21.0,31.0,28.0,14.0,167.0,38.0,6.0,61.0,1181.0,87.0,465.0,564.0,218.0,9.0,1006.0,9.0,16.0,692.0,3335.0,1765.0,56.0,16.0,723.0,16.0,11.0,14.0,123.0,39.0,21.0
Joelinton,Newcastle Utd,br BRA,"MF,FW",25-133,18,13,13.5,1.0,1.0,3.0,0.0,24.0,425.0,4731.0,221.0,136.0,31.0,10.0,33.0,26.0,8.0,263.0,27.0,2.0,23.0,647.0,38.0,141.0,313.0,241.0,44.0,639.0,18.0,31.0,424.0,1963.0,1073.0,49.0,40.0,547.0,33.0,26.0,16.0,102.0,55.0,63.0
John McGinn,Aston Villa,sct SCO,MF,27-068,16,16,15.4,3.0,2.0,4.0,0.0,21.0,586.0,10056.0,168.0,224.0,182.0,31.0,16.0,39.0,14.0,223.0,14.0,1.0,14.0,756.0,26.0,164.0,405.0,245.0,14.0,693.0,19.0,31.0,506.0,2440.0,1347.0,59.0,19.0,513.0,28.0,44.0,20.0,128.0,15.0,9.0
John Ruddy,Wolves,eng ENG,GK,35-062,2,2,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Stones,Manchester City,eng ENG,DF,27-211,10,8,8.9,1.0,0.0,1.0,0.0,7.0,513.0,10171.0,172.0,251.0,89.0,1.0,13.0,4.0,1.0,30.0,4.0,3.0,24.0,560.0,64.0,223.0,370.0,19.0,7.0,546.0,1.0,2.0,397.0,2775.0,1635.0,56.0,1.0,442.0,5.0,5.0,4.0,56.0,32.0,5.0
Jon Rowe,Norwich City,eng ENG,FW,18-239,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Tomkinson,Norwich City,us USA,DF,19-258,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonjo Shelvey,Newcastle Utd,eng ENG,MF,29-301,10,8,8.0,1.0,0.0,4.0,1.0,11.0,383.0,7633.0,90.0,140.0,147.0,9.0,9.0,8.0,1.0,96.0,8.0,3.0,12.0,447.0,16.0,140.0,229.0,97.0,0.0,396.0,2.0,3.0,255.0,1147.0,458.0,14.0,4.0,272.0,9.0,8.0,4.0,87.0,6.0,5.0
Jonjoe Kenny,Everton,eng ENG,DF,24-285,4,3,3.1,0.0,0.0,0.0,0.0,1.0,20.0,346.0,3.0,9.0,8.0,2.0,0.0,2.0,1.0,11.0,2.0,1.0,3.0,31.0,2.0,17.0,8.0,6.0,1.0,27.0,0.0,0.0,13.0,32.0,12.0,1.0,1.0,13.0,1.0,2.0,5.0,8.0,0.0,0.0
Jonny Evans,Leicester City,nir NIR,DF,33-356,15,14,12.8,2.0,1.0,2.0,0.0,5.0,754.0,14794.0,155.0,404.0,189.0,0.0,37.0,15.0,8.0,78.0,24.0,16.0,38.0,858.0,146.0,490.0,380.0,27.0,12.0,828.0,0.0,1.0,513.0,2589.0,1269.0,25.0,1.0,568.0,11.0,9.0,9.0,146.0,39.0,18.0
Jordan Ayew,Crystal Palace,gh GHA,FW,30-105,17,14,12.6,1.0,2.0,1.0,0.0,23.0,391.0,4371.0,193.0,128.0,43.0,34.0,16.0,28.0,7.0,250.0,24.0,2.0,3.0,596.0,8.0,86.0,318.0,247.0,42.0,591.0,20.0,44.0,458.0,2772.0,1593.0,78.0,35.0,539.0,22.0,38.0,21.0,83.0,16.0,32.0
Jordan Henderson,Liverpool,eng ENG,MF,31-191,23,19,18.4,3.0,4.0,2.0,0.0,24.0,1405.0,23161.0,541.0,580.0,239.0,32.0,39.0,24.0,9.0,270.0,17.0,2.0,12.0,1541.0,29.0,183.0,980.0,471.0,29.0,1500.0,8.0,16.0,1058.0,4456.0,1963.0,79.0,9.0,1306.0,25.0,7.0,17.0,196.0,9.0,15.0
Jordan Pickford,Everton,eng ENG,GK,27-293,16,16,16.0,0.0,0.0,1.0,0.0,0.0,493.0,9915.0,32.0,81.0,378.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,541.0,476.0,533.0,8.0,0.0,0.0,366.0,0.0,0.0,229.0,1463.0,795.0,0.0,0.0,203.0,0.0,3.0,0.0,70.0,0.0,0.0
Jorginho,Chelsea,it ITA,MF,30-005,22,18,18.7,7.0,1.0,3.0,0.0,8.0,1321.0,20528.0,581.0,570.0,136.0,3.0,35.0,48.0,20.0,329.0,27.0,5.0,12.0,1494.0,38.0,304.0,920.0,359.0,14.0,1465.0,8.0,10.0,1013.0,4062.0,2048.0,81.0,19.0,1175.0,25.0,31.0,29.0,168.0,13.0,25.0
Josh Brownhill,Burnley,eng ENG,MF,26-006,17,15,15.4,0.0,0.0,4.0,0.0,12.0,470.0,6289.0,210.0,158.0,81.0,13.0,41.0,22.0,3.0,210.0,19.0,6.0,18.0,584.0,31.0,118.0,326.0,168.0,17.0,567.0,5.0,8.0,308.0,1309.0,557.0,30.0,6.0,379.0,23.0,11.0,16.0,133.0,20.0,19.0
Josh Sargent,Norwich City,us USA,"FW,MF",21-308,16,10,10.1,2.0,1.0,0.0,0.0,16.0,197.0,2189.0,109.0,64.0,10.0,11.0,10.0,14.0,7.0,168.0,16.0,0.0,11.0,333.0,13.0,52.0,135.0,165.0,41.0,325.0,9.0,15.0,206.0,1103.0,510.0,20.0,22.0,383.0,6.0,23.0,6.0,44.0,10.0,29.0
Josh Wilson-Esbrand,Manchester City,eng ENG,DF,18-364,1,1,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Joshua King,Watford,no NOR,FW,29-344,15,14,12.6,5.0,2.0,3.0,0.0,27.0,242.0,2558.0,127.0,83.0,15.0,10.0,13.0,12.0,1.0,228.0,11.0,1.0,14.0,395.0,16.0,45.0,168.0,201.0,64.0,376.0,15.0,26.0,230.0,1255.0,631.0,35.0,17.0,550.0,20.0,9.0,8.0,48.0,47.0,65.0
José Sá,Wolves,pt POR,GK,28-342,18,18,18.0,0.0,1.0,1.0,0.0,0.0,507.0,10013.0,60.0,130.0,315.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,553.0,514.0,548.0,5.0,0.0,0.0,386.0,0.0,0.0,249.0,1571.0,885.0,0.0,0.0,169.0,1.0,4.0,0.0,106.0,0.0,0.0
João Cancelo,Manchester City,pt POR,DF,27-212,24,23,23.7,3.0,7.0,7.0,0.0,47.0,2003.0,31038.0,847.0,801.0,303.0,64.0,61.0,47.0,27.0,211.0,34.0,3.0,37.0,2258.0,53.0,395.0,1229.0,789.0,63.0,2062.0,30.0,56.0,1637.0,7432.0,4043.0,218.0,18.0,1695.0,29.0,14.0,28.0,223.0,30.0,33.0
João Moutinho,Wolves,pt POR,MF,35-108,20,18,17.8,0.0,0.0,2.0,0.0,10.0,950.0,17119.0,302.0,413.0,208.0,20.0,42.0,32.0,11.0,313.0,25.0,3.0,18.0,1077.0,37.0,256.0,620.0,257.0,3.0,989.0,8.0,10.0,714.0,3093.0,1550.0,68.0,11.0,748.0,29.0,11.0,24.0,165.0,7.0,16.0
João Pedro,Watford,br BRA,MF,20-090,11,3,5.0,1.0,1.0,1.0,0.0,11.0,152.0,1612.0,78.0,42.0,23.0,7.0,11.0,4.0,1.0,88.0,5.0,1.0,5.0,229.0,5.0,24.0,113.0,106.0,19.0,223.0,8.0,16.0,137.0,757.0,355.0,14.0,17.0,220.0,6.0,10.0,4.0,41.0,15.0,23.0
Joël Matip,Liverpool,cm CMR,DF,30-139,20,20,19.5,0.0,0.0,1.0,0.0,19.0,1334.0,26572.0,337.0,724.0,261.0,1.0,63.0,30.0,12.0,124.0,22.0,9.0,76.0,1520.0,156.0,651.0,911.0,90.0,32.0,1492.0,9.0,11.0,965.0,5943.0,3860.0,132.0,4.0,1115.0,11.0,11.0,22.0,216.0,84.0,31.0
Joël Veltman,Brighton,nl NED,DF,29-344,14,13,12.5,0.0,1.0,4.0,0.0,3.0,648.0,9603.0,208.0,317.0,89.0,19.0,32.0,44.0,14.0,146.0,22.0,3.0,26.0,784.0,69.0,294.0,351.0,190.0,10.0,689.0,6.0,14.0,445.0,2117.0,873.0,29.0,8.0,475.0,19.0,13.0,20.0,112.0,16.0,13.0
Juan Mata,Manchester Utd,es ESP,"FW,MF",33-241,3,2,1.7,0.0,0.0,0.0,0.0,4.0,50.0,792.0,24.0,15.0,9.0,3.0,1.0,3.0,1.0,8.0,0.0,0.0,0.0,61.0,1.0,18.0,34.0,11.0,1.0,56.0,1.0,1.0,38.0,190.0,80.0,4.0,2.0,50.0,1.0,4.0,1.0,9.0,0.0,0.0
Jude Soonsup-Bell,Chelsea,eng ENG,FW,17-349,1,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Junior Firpo,Leeds United,es ESP,DF,25-125,14,11,11.4,0.0,0.0,5.0,0.0,7.0,486.0,6797.0,215.0,210.0,47.0,15.0,20.0,28.0,12.0,146.0,13.0,3.0,20.0,589.0,24.0,178.0,286.0,167.0,22.0,507.0,6.0,11.0,348.0,1676.0,1008.0,48.0,4.0,369.0,28.0,7.0,17.0,73.0,18.0,11.0
Juraj Kucka,Watford,sk SVK,MF,34-302,13,11,11.1,1.0,0.0,4.0,1.0,24.0,326.0,4272.0,133.0,119.0,60.0,4.0,31.0,35.0,13.0,211.0,17.0,6.0,26.0,489.0,39.0,144.0,266.0,101.0,9.0,478.0,9.0,16.0,226.0,1052.0,540.0,34.0,13.0,305.0,30.0,26.0,23.0,116.0,27.0,26.0
Jóhann Berg Guðmundsson,Burnley,is ISL,MF,31-059,16,12,11.5,0.0,1.0,2.0,0.0,16.0,305.0,3171.0,149.0,80.0,58.0,40.0,25.0,18.0,8.0,147.0,17.0,2.0,15.0,426.0,18.0,75.0,179.0,203.0,26.0,422.0,13.0,21.0,289.0,1492.0,738.0,33.0,14.0,324.0,16.0,14.0,9.0,86.0,17.0,14.0
Jürgen Locadia,Brighton,nl NED,FW,28-048,3,1,1.4,0.0,0.0,0.0,0.0,1.0,3.0,43.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,3.0,2.0,6.0,1.0,1.0,5.0,10.0,4.0,0.0,1.0,15.0,2.0,1.0,1.0,1.0,0.0,0.0
Kai Havertz,Chelsea,de GER,MF,22-197,21,15,15.4,4.0,2.0,0.0,0.0,42.0,439.0,4887.0,246.0,120.0,29.0,16.0,7.0,15.0,2.0,215.0,23.0,0.0,22.0,636.0,24.0,61.0,274.0,336.0,87.0,624.0,15.0,28.0,433.0,2181.0,1099.0,68.0,30.0,738.0,23.0,23.0,9.0,58.0,29.0,37.0
Kaide Gordon,Liverpool,eng ENG,FW,17-081,1,1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Kallum Cesay,Tottenham,eng ENG,DF,19-112,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalvin Phillips,Leeds United,eng ENG,MF,26-023,15,15,14.4,1.0,1.0,2.0,0.0,16.0,627.0,11743.0,167.0,280.0,165.0,12.0,22.0,38.0,8.0,309.0,27.0,7.0,19.0,769.0,50.0,257.0,431.0,131.0,7.0,745.0,4.0,8.0,484.0,2287.0,914.0,18.0,15.0,495.0,32.0,15.0,33.0,137.0,15.0,15.0
Kamarai Simon-Swyer,West Ham,eng ENG,MF,19-021,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karl Darlow,Newcastle Utd,eng ENG,GK,31-078,8,8,8.0,0.0,0.0,1.0,0.0,0.0,253.0,6707.0,15.0,42.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,269.0,223.0,265.0,4.0,0.0,0.0,170.0,0.0,0.0,95.0,546.0,294.0,0.0,0.0,94.0,1.0,2.0,0.0,31.0,0.0,0.0
Karl Jakob Hein,Arsenal,ee EST,GK,19-256,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasey McAteer,Leicester City,eng ENG,FW,20-033,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasper Schmeichel,Leicester City,dk DEN,GK,35-050,24,24,24.0,0.0,0.0,1.0,0.0,0.0,781.0,17583.0,64.0,266.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,828.0,742.0,820.0,9.0,0.0,0.0,570.0,0.0,0.0,365.0,1551.0,724.0,0.0,0.0,371.0,0.0,1.0,0.0,95.0,0.0,1.0
Keenan Appiah-Forson,West Ham,eng ENG,MF,20-070,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,52.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,7.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Keinan Davis,Aston Villa,eng ENG,FW,23-315,1,0,0.1,0.0,0.0,0.0,0.0,0.0,3.0,49.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,2.0,0.0,7.0,0.0,0.0,6.0,5.0,1.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,2.0
Kelechi Iheanacho,Leicester City,ng NGA,"FW,MF",25-083,20,8,9.7,3.0,5.0,1.0,0.0,20.0,270.0,3083.0,135.0,78.0,28.0,7.0,5.0,11.0,3.0,149.0,7.0,1.0,5.0,402.0,5.0,29.0,191.0,205.0,41.0,393.0,13.0,31.0,305.0,1248.0,647.0,34.0,17.0,499.0,22.0,9.0,6.0,37.0,10.0,31.0
Ken Sema,Watford,se SWE,"MF,FW",28-086,9,4,5.2,0.0,0.0,1.0,0.0,3.0,76.0,720.0,24.0,26.0,13.0,10.0,8.0,5.0,0.0,73.0,4.0,0.0,8.0,117.0,8.0,32.0,52.0,40.0,6.0,114.0,2.0,7.0,72.0,353.0,230.0,12.0,11.0,116.0,12.0,4.0,4.0,20.0,5.0,10.0
Kenny McLean,Norwich City,sct SCO,MF,29-351,17,16,16.3,1.0,1.0,1.0,0.0,22.0,564.0,8014.0,228.0,213.0,101.0,14.0,30.0,26.0,11.0,231.0,15.0,2.0,26.0,728.0,34.0,192.0,408.0,174.0,20.0,712.0,10.0,20.0,430.0,2142.0,1010.0,46.0,14.0,601.0,7.0,24.0,17.0,105.0,46.0,35.0
Kepa Arrizabalaga,Chelsea,es ESP,GK,27-083,6,5,5.4,0.0,0.0,1.0,0.0,0.0,59.0,1400.0,8.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,52.0,64.0,0.0,0.0,0.0,50.0,0.0,0.0,34.0,124.0,55.0,0.0,0.0,35.0,0.0,0.0,0.0,8.0,0.0,0.0
Kevin De Bruyne,Manchester City,be BEL,MF,30-180,19,13,13.0,5.0,1.0,2.0,0.0,47.0,702.0,10303.0,282.0,262.0,131.0,41.0,10.0,12.0,4.0,169.0,12.0,4.0,5.0,840.0,13.0,90.0,369.0,431.0,52.0,784.0,16.0,24.0,574.0,2532.0,1631.0,81.0,17.0,742.0,7.0,20.0,5.0,84.0,3.0,9.0
Kevin Long,Burnley,ie IRL,DF,31-129,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ki-Jana Hoever,Wolves,nl NED,DF,19-341,8,4,4.5,0.0,1.0,1.0,0.0,2.0,105.0,1454.0,39.0,49.0,12.0,15.0,1.0,12.0,5.0,56.0,3.0,0.0,6.0,131.0,8.0,44.0,55.0,37.0,3.0,107.0,1.0,2.0,68.0,402.0,265.0,8.0,2.0,81.0,6.0,4.0,13.0,13.0,2.0,2.0
Kieran Dowell,Norwich City,eng ENG,"FW,MF",24-076,9,4,3.9,0.0,1.0,0.0,0.0,3.0,98.0,1041.0,49.0,21.0,23.0,14.0,7.0,9.0,4.0,84.0,3.0,1.0,2.0,123.0,4.0,16.0,46.0,64.0,7.0,111.0,3.0,3.0,77.0,297.0,133.0,9.0,5.0,109.0,9.0,3.0,6.0,15.0,6.0,8.0
Kieran Tierney,Arsenal,sct SCO,DF,24-203,12,12,11.3,0.0,2.0,0.0,0.0,10.0,535.0,7676.0,189.0,230.0,93.0,35.0,28.0,12.0,6.0,79.0,17.0,4.0,25.0,639.0,33.0,169.0,262.0,250.0,29.0,552.0,4.0,14.0,384.0,1941.0,1193.0,56.0,4.0,427.0,2.0,12.0,4.0,87.0,11.0,11.0
Kiernan Dewsbury Hall,Leicester City,eng ENG,MF,23-110,15,7,7.5,1.0,0.0,1.0,0.0,14.0,316.0,3979.0,141.0,120.0,40.0,14.0,15.0,15.0,5.0,126.0,6.0,2.0,4.0,388.0,5.0,51.0,226.0,144.0,15.0,377.0,5.0,9.0,259.0,1453.0,751.0,34.0,14.0,311.0,10.0,7.0,13.0,58.0,8.0,6.0
Kiko Femenía,Watford,es ESP,DF,30-326,11,10,9.3,0.0,2.0,1.0,0.0,1.0,414.0,4866.0,163.0,175.0,58.0,15.0,24.0,22.0,11.0,88.0,22.0,5.0,25.0,516.0,52.0,180.0,210.0,152.0,6.0,407.0,2.0,3.0,229.0,1278.0,611.0,26.0,3.0,244.0,9.0,7.0,15.0,79.0,10.0,8.0
Kjell Scherpen,Brighton,nl NED,GK,21-336,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kortney Hause,Aston Villa,eng ENG,DF,26-162,6,5,4.9,1.0,0.0,0.0,0.0,2.0,111.0,1758.0,27.0,42.0,38.0,0.0,7.0,4.0,2.0,37.0,8.0,4.0,13.0,143.0,23.0,91.0,54.0,8.0,4.0,139.0,2.0,4.0,81.0,495.0,242.0,1.0,2.0,77.0,10.0,2.0,6.0,35.0,14.0,8.0
Kostas Tsimikas,Liverpool,gr GRE,DF,25-227,13,10,9.7,0.0,2.0,2.0,0.0,6.0,431.0,5932.0,145.0,176.0,95.0,64.0,14.0,18.0,8.0,105.0,9.0,1.0,20.0,510.0,25.0,137.0,210.0,196.0,12.0,418.0,7.0,13.0,307.0,1520.0,897.0,57.0,10.0,319.0,22.0,9.0,13.0,57.0,8.0,9.0
Kris Moore,Leeds United,,MF,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristoffer Ajer,Brentford,no NOR,DF,23-252,9,7,7.8,0.0,0.0,1.0,0.0,2.0,209.0,2410.0,66.0,91.0,35.0,4.0,15.0,11.0,7.0,57.0,9.0,4.0,35.0,289.0,32.0,128.0,134.0,44.0,9.0,246.0,4.0,6.0,126.0,774.0,452.0,15.0,2.0,127.0,6.0,10.0,5.0,55.0,21.0,9.0
Kristoffer Klaesson,Leeds United,no NOR,GK,21-028,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurt Zouma,West Ham,fr FRA,DF,27-059,13,13,12.5,1.0,0.0,1.0,0.0,5.0,433.0,7851.0,114.0,237.0,81.0,2.0,33.0,6.0,2.0,52.0,12.0,10.0,65.0,548.0,106.0,303.0,253.0,22.0,9.0,534.0,0.0,0.0,305.0,1725.0,885.0,17.0,0.0,326.0,10.0,4.0,3.0,92.0,27.0,10.0
Kwadwo Baah,Watford,eng ENG,FW,18-332,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
