Name,Team,Nationalaty,Position,Matches Played,Matches Starts,Minutes / Div By 90,Goals,Asissts,Yellows,Reds,Total Shots,Passes Attemted,Passes Total Distance,Short Passes,Medium Passes,Long Passes,Cross Passes,Head Pases,Tackeled,Tackeled Dribbels,Pressure Applying,Blocks,Shots Blocks,Clearence,Touches,Touches Defencive Penalty Area,Touches Defencive 3RD,Touches Mid 3RD,Touches Attacking 3RD,Touches Attacking Penalty Area,Touches Live Game,Dribbels Succes,Dribbels Attempted,Carries,Carries To Distance,Carries Proggresive,Carries Proggresive Foword,Carries Tackeled,Reciving Passes,Fouls Commited,Fouls Drawn,Tackele Won,looseBallRecovered,Aerial Duals Won,Aerial Duals Lost
Adrian Bernabe,Manchester City,es ESP,MF,1,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
Adrián,Liverpool,es ESP,GK,6,6,6.0,0.0,0.0,0.0,0.0,0.0,134.0,2804.0,22.0,40.0,68.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,154.0,139.0,154.0,0.0,0.0,0.0,115.0,0.0,0.0,71.0,218.0,112.0,0.0,0.0,64.0,0.0,2.0,2.0,25.0,0.0,0.0
Ahmed Elmohamady,Aston Villa,eg EGY,DF,17,11,12.3,0.0,0.0,2.0,0.0,11.0,594.0,8878.0,210.0,257.0,113.0,46.0,38.0,18.0,6.0,74.0,15.0,4.0,32.0,686.0,43.0,219.0,286.0,213.0,14.0,567.0,4.0,5.0,340.0,1525.0,837.0,44.0,7.0,394.0,12.0,6.0,15.0,97.0,27.0,9.0
Ainsley Maitland-Niles,Arsenal,eng ENG,MF,21,13,13.5,0.0,1.0,0.0,0.0,9.0,566.0,8141.0,272.0,206.0,67.0,14.0,17.0,22.0,11.0,161.0,20.0,4.0,20.0,683.0,36.0,198.0,313.0,223.0,24.0,625.0,12.0,21.0,440.0,2397.0,1397.0,65.0,17.0,480.0,13.0,8.0,22.0,91.0,9.0,6.0
Ajibola Alese,West Ham,eng ENG,DF,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Alex Cochrane,Brighton,eng ENG,DF,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Iwobi,Everton,ng NGA,"FW,DF",36,21,20.9,2.0,3.0,0.0,0.0,22.0,688.0,9911.0,242.0,291.0,113.0,64.0,7.0,33.0,14.0,224.0,22.0,1.0,12.0,880.0,25.0,193.0,419.0,363.0,46.0,849.0,46.0,71.0,698.0,4994.0,2997.0,148.0,28.0,787.0,18.0,20.0,24.0,118.0,4.0,8.0
Alex McCarthy,Southampton,eng ENG,GK,31,31,31.0,0.0,0.0,3.0,0.0,0.0,1069.0,18362.0,182.0,287.0,585.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,1145.0,891.0,1138.0,8.0,0.0,0.0,874.0,2.0,2.0,570.0,1976.0,1065.0,0.0,0.0,587.0,1.0,3.0,0.0,130.0,0.0,0.0
Alex Oxlade-Chamberlain,Liverpool,eng ENG,"MF,FW",17,2,3.3,1.0,1.0,0.0,0.0,9.0,158.0,2535.0,55.0,63.0,28.0,4.0,10.0,3.0,0.0,55.0,3.0,0.0,1.0,199.0,4.0,12.0,113.0,88.0,7.0,196.0,3.0,8.0,128.0,768.0,390.0,17.0,8.0,196.0,3.0,1.0,2.0,38.0,2.0,4.0
Alex Telles,Manchester Utd,br BRA,DF,24,20,19.5,0.0,3.0,1.0,0.0,11.0,1039.0,13813.0,441.0,382.0,184.0,73.0,25.0,24.0,9.0,168.0,35.0,2.0,52.0,1214.0,55.0,343.0,558.0,368.0,3.0,998.0,8.0,14.0,654.0,3090.0,1883.0,65.0,19.0,806.0,25.0,16.0,17.0,113.0,22.0,18.0
Alexander Gilbert,Brentford,ie IRL,FW,2,1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0
Alexander Tettey,Norwich City,no NOR,MF,22,8,7.9,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0
