Date,Name,Potantial Return,Reason,Status,Team
04/01/2022,Kyle Walker-Peters,08/01/2022,Suspended,Ruled Out,Southampton
29/12/2022,Kyle Walker-Peters,08/01/2022,Suspended,Ruled Out,"Southampton
TRACK
9"
30/12/2022,Kyle Walker-Peters,08/01/2022,Suspended,Ruled Out,"Southampton
TRACK
9"
31/12/2022,Kyle Walker-Peters,08/01/2022,Suspended,Ruled Out,"Southampton
TRACK
9"
01/01/2022,Leandro Trossard,02/01/2022,Thigh Injury,75%,Brighton and Hove Albion
02/01/2022,Leandro Trossard,02/01/2022,Thigh Injury,75%,Brighton and Hove Albion
27/12/2022,Leandro Trossard,29/12/2021,Thigh Injury,25%,"Brighton and Hove Albion
TRACK
8"
28/12/2022,Leandro Trossard,29/12/2021,Thigh Injury,25%,"Brighton and Hove Albion
TRACK
8"
29/12/2022,Leandro Trossard,29/12/2021,Thigh Injury,25%,"Brighton and Hove Albion
TRACK
7"
30/12/2022,Leandro Trossard,No Return Date,Thigh Injury,Ruled Out,"Brighton and Hove Albion
TRACK
4"
31/12/2022,Leandro Trossard,02/01/2022,Thigh Injury,75%,"Brighton and Hove Albion
TRACK
4"
01/01/2022,Leon Bailey,No Return Date,Thigh Injury,Ruled Out,Aston Villa
02/01/2022,Leon Bailey,No Return Date,Thigh Injury,Ruled Out,Aston Villa
03/01/2022,Leon Bailey,No Return Date,Thigh Injury,Ruled Out,Aston Villa
04/01/2022,Leon Bailey,No Return Date,Thigh Injury,Ruled Out,Aston Villa
26/12/2022,Leon Bailey,No Return Date,Thigh Injury,Ruled Out,"Aston Villa
TRACK
7"
27/12/2022,Leon Bailey,No Return Date,Thigh Injury,Ruled Out,"Aston Villa
TRACK
4"
28/12/2022,Leon Bailey,No Return Date,Thigh Injury,Ruled Out,"Aston Villa
TRACK
4"
29/12/2022,Leon Bailey,No Return Date,Thigh Injury,Ruled Out,"Aston Villa
TRACK
4"
30/12/2022,Leon Bailey,No Return Date,Thigh Injury,Ruled Out,"Aston Villa
TRACK
4"
31/12/2022,Leon Bailey,No Return Date,Thigh Injury,Ruled Out,"Aston Villa
TRACK
4"
01/01/2022,Lewis Dunk,23/01/2022,Knee Injury,Ruled Out,Brighton and Hove Albion
02/01/2022,Lewis Dunk,23/01/2022,Knee Injury,Ruled Out,Brighton and Hove Albion
03/01/2022,Lewis Dunk,23/01/2022,Knee Injury,Ruled Out,Brighton and Hove Albion
04/01/2022,Lewis Dunk,23/01/2022,Knee Injury,Ruled Out,Brighton and Hove Albion
26/12/2022,Lewis Dunk,23/01/2022,Knee Injury,Ruled Out,"Brighton and Hove Albion
TRACK
8"
27/12/2022,Lewis Dunk,23/01/2022,Knee Injury,Ruled Out,"Brighton and Hove Albion
TRACK
8"
28/12/2022,Lewis Dunk,23/01/2022,Knee Injury,Ruled Out,"Brighton and Hove Albion
TRACK
8"
29/12/2022,Lewis Dunk,23/01/2022,Knee Injury,Ruled Out,"Brighton and Hove Albion
TRACK
7"
30/12/2022,Lewis Dunk,23/01/2022,Knee Injury,Ruled Out,"Brighton and Hove Albion
TRACK
4"
31/12/2022,Lewis Dunk,23/01/2022,Knee Injury,Ruled Out,"Brighton and Hove Albion
TRACK
4"
01/01/2022,Liam Cooper,12/03/2022,Thigh Injury,Ruled Out,Leeds United
02/01/2022,Liam Cooper,12/03/2022,Thigh Injury,Ruled Out,Leeds United
03/01/2022,Liam Cooper,12/03/2022,Thigh Injury,Ruled Out,Leeds United
04/01/2022,Liam Cooper,12/03/2022,Thigh Injury,Ruled Out,Leeds United
26/12/2022,Liam Cooper,No Return Date,Thigh Injury,Ruled Out,"Leeds United
TRACK
9"
27/12/2022,Liam Cooper,No Return Date,Thigh Injury,Ruled Out,"Leeds United
TRACK
9"
28/12/2022,Liam Cooper,No Return Date,Thigh Injury,Ruled Out,"Leeds United
TRACK
9"
29/12/2022,Liam Cooper,No Return Date,Thigh Injury,Ruled Out,"Leeds United
TRACK
9"
30/12/2022,Liam Cooper,No Return Date,Thigh Injury,Ruled Out,"Leeds United
TRACK
9"
31/12/2022,Liam Cooper,12/03/2022,Thigh Injury,Ruled Out,"Leeds United
TRACK
10"
01/01/2022,Liam Delap,No Return Date,Ankle/Foot Injury,Ruled Out,Manchester City
02/01/2022,Liam Delap,No Return Date,Ankle/Foot Injury,Ruled Out,Manchester City
03/01/2022,Liam Delap,No Return Date,Ankle/Foot Injury,Ruled Out,Manchester City
04/01/2022,Liam Delap,No Return Date,Ankle/Foot Injury,Ruled Out,Manchester City
26/12/2022,Liam Delap,No Return Date,Ankle/Foot Injury,Ruled Out,"Manchester City
TRACK
4"
27/12/2022,Liam Delap,No Return Date,Ankle/Foot Injury,Ruled Out,"Manchester City
TRACK
6"
28/12/2022,Liam Delap,No Return Date,Ankle/Foot Injury,Ruled Out,"Manchester City
TRACK
6"
29/12/2022,Liam Delap,No Return Date,Ankle/Foot Injury,Ruled Out,"Manchester City
TRACK
6"
30/12/2022,Liam Delap,No Return Date,Ankle/Foot Injury,Ruled Out,"Manchester City
TRACK
5"
31/12/2022,Liam Delap,No Return Date,Ankle/Foot Injury,Ruled Out,"Manchester City
TRACK
5"
01/01/2022,Lucas Digne,02/01/2022,Illness,100%,Everton
26/12/2022,Lucas Digne,30/12/2021,Illness,100%,"Everton
TRACK
9"
27/12/2022,Lucas Digne,30/12/2021,Illness,100%,"Everton
TRACK
9"
28/12/2022,Lucas Digne,30/12/2021,Illness,100%,"Everton
TRACK
9"
29/12/2022,Lucas Digne,30/12/2021,Illness,100%,"Everton
TRACK
9"
30/12/2022,Lucas Digne,02/01/2022,Illness,75%,"Everton
TRACK
9"
31/12/2022,Lucas Digne,02/01/2022,Illness,75%,"Everton
TRACK
9"
27/12/2022,Luka Milivojevic,No Return Date,Illness,Ruled Out,"Crystal Palace
TRACK
8"
01/01/2022,Lukas Rupp,09/01/2022,Illness,75%,Norwich City
02/01/2022,Lukas Rupp,09/01/2022,Illness,75%,Norwich City
03/01/2022,Lukas Rupp,09/01/2022,Illness,75%,Norwich City
04/01/2022,Lukas Rupp,09/01/2022,Illness,75%,Norwich City
26/12/2022,Lukas Rupp,26/12/2021,Illness,50%,"Norwich City
TRACK
7"
27/12/2022,Lukas Rupp,01/01/2022,Illness,50%,"Norwich City
TRACK
7"
28/12/2022,Lukas Rupp,01/01/2022,Illness,50%,"Norwich City
TRACK
7"
29/12/2022,Lukas Rupp,01/01/2022,Illness,50%,"Norwich City
TRACK
11"
30/12/2022,Lukas Rupp,01/01/2022,Illness,50%,"Norwich City
TRACK
11"
31/12/2022,Lukas Rupp,01/01/2022,Illness,50%,"Norwich City
TRACK
11"
04/01/2022,Luke Shaw,22/01/2022,Suspended,Ruled Out,Manchester United
01/01/2022,Lyanco Silveira Neves Vojnovic,08/01/2022,Illness,75%,Southampton
02/01/2022,Lyanco Silveira Neves Vojnovic,08/01/2022,Illness,75%,Southampton
03/01/2022,Lyanco Silveira Neves Vojnovic,08/01/2022,Illness,75%,Southampton
04/01/2022,Lyanco Silveira Neves Vojnovic,08/01/2022,Illness,75%,Southampton
27/12/2022,Lyanco Silveira Neves Vojnovic,No Return Date,Illness,Ruled Out,"Southampton
TRACK
4"
28/12/2022,Lyanco Silveira Neves Vojnovic,No Return Date,Illness,Ruled Out,"Southampton
TRACK
4"
29/12/2022,Lyanco Silveira Neves Vojnovic,02/01/2022,Illness,50%,"Southampton
TRACK
9"
30/12/2022,Lyanco Silveira Neves Vojnovic,02/01/2022,Illness,50%,"Southampton
TRACK
9"
31/12/2022,Lyanco Silveira Neves Vojnovic,02/01/2022,Illness,50%,"Southampton
TRACK
9"
27/12/2022,Mads Roerslev Rasmussen,29/12/2021,Illness,50%,"Brentford
TRACK
11"
28/12/2022,Mads Roerslev Rasmussen,29/12/2021,Illness,50%,"Brentford
TRACK
11"
29/12/2022,Mads Roerslev Rasmussen,29/12/2021,Illness,50%,"Brentford
TRACK
11"
04/01/2022,Mahmoud Ibrahim Hassan,No Return Date,Other,Ruled Out,Aston Villa
01/01/2022,Marvelous Nakamba,02/04/2022,Knee Injury,Ruled Out,Aston Villa
02/01/2022,Marvelous Nakamba,02/04/2022,Knee Injury,Ruled Out,Aston Villa
03/01/2022,Marvelous Nakamba,02/04/2022,Knee Injury,Ruled Out,Aston Villa
04/01/2022,Marvelous Nakamba,02/04/2022,Knee Injury,Ruled Out,Aston Villa
26/12/2022,Marvelous Nakamba,02/04/2022,Knee Injury,Ruled Out,"Aston Villa
TRACK
7"
27/12/2022,Marvelous Nakamba,02/04/2022,Knee Injury,Ruled Out,"Aston Villa
TRACK
4"
28/12/2022,Marvelous Nakamba,02/04/2022,Knee Injury,Ruled Out,"Aston Villa
TRACK
4"
29/12/2022,Marvelous Nakamba,02/04/2022,Knee Injury,Ruled Out,"Aston Villa
TRACK
4"
30/12/2022,Marvelous Nakamba,02/04/2022,Knee Injury,Ruled Out,"Aston Villa
TRACK
4"
31/12/2022,Marvelous Nakamba,02/04/2022,Knee Injury,Ruled Out,"Aston Villa
TRACK
4"
04/01/2022,Mathias Jensen,No Return Date,Groin/Hip/Pelvic Injury,50%,Brentford
01/01/2022,Mathias Jorgensen,No Return Date,Thigh Injury,Ruled Out,Brentford
02/01/2022,Mathias Jorgensen,No Return Date,Thigh Injury,Ruled Out,Brentford
03/01/2022,Mathias Jorgensen,No Return Date,Thigh Injury,Ruled Out,Brentford
04/01/2022,Mathias Jorgensen,No Return Date,Thigh Injury,Ruled Out,Brentford
26/12/2022,Mathias Jorgensen,No Return Date,Thigh Injury,Ruled Out,"Brentford
TRACK
7"
27/12/2022,Mathias Jorgensen,No Return Date,Thigh Injury,Ruled Out,"Brentford
TRACK
11"
28/12/2022,Mathias Jorgensen,No Return Date,Thigh Injury,Ruled Out,"Brentford
TRACK
11"
29/12/2022,Mathias Jorgensen,No Return Date,Thigh Injury,Ruled Out,"Brentford
TRACK
11"
30/12/2022,Mathias Jorgensen,No Return Date,Thigh Injury,Ruled Out,"Brentford
TRACK
11"
31/12/2022,Mathias Jorgensen,No Return Date,Thigh Injury,Ruled Out,"Brentford
TRACK
11"
01/01/2022,Mathias Normann,No Return Date,Groin/Hip/Pelvic Injury,Ruled Out,Norwich City
02/01/2022,Mathias Normann,No Return Date,Groin/Hip/Pelvic Injury,Ruled Out,Norwich City
03/01/2022,Mathias Normann,No Return Date,Groin/Hip/Pelvic Injury,Ruled Out,Norwich City
04/01/2022,Mathias Normann,No Return Date,Groin/Hip/Pelvic Injury,Ruled Out,Norwich City
26/12/2022,Mathias Normann,No Return Date,Groin/Hip/Pelvic Injury,Ruled Out,"Norwich City
TRACK
7"
27/12/2022,Mathias Normann,No Return Date,Groin/Hip/Pelvic Injury,Ruled Out,"Norwich City
TRACK
7"
28/12/2022,Mathias Normann,No Return Date,Groin/Hip/Pelvic Injury,Ruled Out,"Norwich City
TRACK
7"
29/12/2022,Mathias Normann,No Return Date,Groin/Hip/Pelvic Injury,Ruled Out,"Norwich City
TRACK
11"
30/12/2022,Mathias Normann,No Return Date,Groin/Hip/Pelvic Injury,Ruled Out,"Norwich City
TRACK
11"
31/12/2022,Mathias Normann,No Return Date,Groin/Hip/Pelvic Injury,Ruled Out,"Norwich City
TRACK
11"
01/01/2022,Matt Ritchie,No Return Date,Other,Ruled Out,Newcastle United
02/01/2022,Matt Ritchie,No Return Date,Other,Ruled Out,Newcastle United
03/01/2022,Matt Ritchie,No Return Date,Other,Ruled Out,Newcastle United
04/01/2022,Matt Ritchie,No Return Date,Other,Ruled Out,Newcastle United
28/12/2022,Matt Ritchie,No Return Date,Other,Ruled Out,"Newcastle United
TRACK
12"
29/12/2022,Matt Ritchie,No Return Date,Other,Ruled Out,"Newcastle United
TRACK
13"
30/12/2022,Matt Ritchie,No Return Date,Other,Ruled Out,"Newcastle United
TRACK
12"
31/12/2022,Matt Ritchie,No Return Date,Other,Ruled Out,"Newcastle United
TRACK
12"
01/01/2022,Maximillian Aarons,No Return Date,Illness,Ruled Out,Norwich City
02/01/2022,Maximillian Aarons,No Return Date,Illness,Ruled Out,Norwich City
03/01/2022,Maximillian Aarons,No Return Date,Illness,Ruled Out,Norwich City
04/01/2022,Maximillian Aarons,No Return Date,Illness,Ruled Out,Norwich City
29/12/2022,Maximillian Aarons,No Return Date,Illness,Ruled Out,"Norwich City
TRACK
11"
30/12/2022,Maximillian Aarons,No Return Date,Illness,Ruled Out,"Norwich City
TRACK
11"
31/12/2022,Maximillian Aarons,No Return Date,Illness,Ruled Out,"Norwich City
TRACK
11"
01/01/2022,Maxwel Cornet,02/01/2022,Thigh Injury,75%,Burnley
04/01/2022,Maxwel Cornet,No Return Date,Other,Ruled Out,Burnley
26/12/2022,Maxwel Cornet,30/12/2021,Thigh Injury,50%,"Burnley
TRACK
4"
27/12/2022,Maxwel Cornet,30/12/2021,Thigh Injury,50%,"Burnley
TRACK
4"
28/12/2022,Maxwel Cornet,30/12/2021,Thigh Injury,50%,"Burnley
TRACK
4"
29/12/2022,Maxwel Cornet,30/12/2021,Thigh Injury,50%,"Burnley
TRACK
4"
30/12/2022,Maxwel Cornet,30/12/2021,Thigh Injury,50%,"Burnley
TRACK
4"
31/12/2022,Maxwel Cornet,02/01/2022,Thigh Injury,50%,"Burnley
TRACK
7"
01/01/2022,Michael Olise,08/01/2022,Illness,50%,Crystal Palace
27/12/2022,Michael Olise,No Return Date,Illness,Ruled Out,"Crystal Palace
TRACK
8"
28/12/2022,Michael Olise,No Return Date,Illness,Ruled Out,"Crystal Palace
TRACK
6"
29/12/2022,Michael Olise,No Return Date,Illness,Ruled Out,"Crystal Palace
TRACK
7"
30/12/2022,Michael Olise,No Return Date,Illness,Ruled Out,"Crystal Palace
TRACK
7"
31/12/2022,Michael Olise,No Return Date,Illness,Ruled Out,"Crystal Palace
TRACK
7"
26/12/2022,Michail Antonio,26/12/2021,Illness,50%,"West Ham United
TRACK
4"
01/01/2022,Milot Rashica,09/01/2022,Groin/Hip/Pelvic Injury,50%,Norwich City
02/01/2022,Milot Rashica,09/01/2022,Groin/Hip/Pelvic Injury,50%,Norwich City
03/01/2022,Milot Rashica,09/01/2022,Groin/Hip/Pelvic Injury,50%,Norwich City
04/01/2022,Milot Rashica,09/01/2022,Groin/Hip/Pelvic Injury,50%,Norwich City
26/12/2022,Milot Rashica,28/12/2021,Groin/Hip/Pelvic Injury,50%,"Norwich City
TRACK
7"
27/12/2022,Milot Rashica,01/01/2022,Groin/Hip/Pelvic Injury,50%,"Norwich City
TRACK
7"
28/12/2022,Milot Rashica,01/01/2022,Groin/Hip/Pelvic Injury,50%,"Norwich City
TRACK
7"
29/12/2022,Milot Rashica,01/01/2022,Groin/Hip/Pelvic Injury,50%,"Norwich City
TRACK
11"
30/12/2022,Milot Rashica,01/01/2022,Groin/Hip/Pelvic Injury,50%,"Norwich City
TRACK
11"
31/12/2022,Milot Rashica,01/01/2022,Groin/Hip/Pelvic Injury,50%,"Norwich City
TRACK
11"
04/01/2022,Mohamed Elneny,No Return Date,Other,Ruled Out,Arsenal
03/01/2022,Mohamed Salah,No Return Date,Other,Ruled Out,Liverpool
04/01/2022,Mohamed Salah,No Return Date,Other,Ruled Out,Liverpool
01/01/2022,Mohamed Salisu,15/01/2022,Suspended,Ruled Out,Southampton
02/01/2022,Mohamed Salisu,15/01/2022,Suspended,Ruled Out,Southampton
03/01/2022,Mohamed Salisu,15/01/2022,Suspended,Ruled Out,Southampton
04/01/2022,Mohamed Salisu,15/01/2022,Suspended,Ruled Out,Southampton
29/12/2022,Mohamed Salisu,No Return Date,Suspended,Ruled Out,"Southampton
TRACK
9"
30/12/2022,Mohamed Salisu,No Return Date,Suspended,Ruled Out,"Southampton
TRACK
9"
31/12/2022,Mohamed Salisu,15/01/2022,Suspended,Ruled Out,"Southampton
TRACK
9"
26/12/2022,Morgan Sanson,26/12/2021,Illness,75%,"Aston Villa
TRACK
7"
27/12/2022,N'Golo Kante,No Return Date,Knee Injury,25%,"Chelsea
TRACK
6"
28/12/2022,N'Golo Kante,No Return Date,Knee Injury,25%,"Chelsea
TRACK
6"
29/12/2022,N'Golo Kante,29/12/2021,Knee Injury,50%,"Chelsea
TRACK
6"
03/01/2022,Naby Keita,No Return Date,Other,Ruled Out,Liverpool
04/01/2022,Naby Keita,No Return Date,Other,Ruled Out,Liverpool
26/12/2022,Nathan Ferguson,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Crystal Palace
TRACK
2"
01/01/2022,Nathan Tella,08/01/2022,Illness,50%,Southampton
02/01/2022,Nathan Tella,08/01/2022,Illness,50%,Southampton
03/01/2022,Nathan Tella,08/01/2022,Illness,50%,Southampton
04/01/2022,Nathan Tella,08/01/2022,Illness,50%,Southampton
27/12/2022,Nathan Tella,No Return Date,Illness,Ruled Out,"Southampton
TRACK
4"
28/12/2022,Nathan Tella,No Return Date,Illness,Ruled Out,"Southampton
TRACK
4"
29/12/2022,Nathan Tella,No Return Date,Illness,Ruled Out,"Southampton
TRACK
9"
30/12/2022,Nathan Tella,No Return Date,Illness,Ruled Out,"Southampton
TRACK
9"
31/12/2022,Nathan Tella,No Return Date,Illness,Ruled Out,"Southampton
TRACK
9"
01/01/2022,Nathaniel Clyne,08/01/2022,Illness,50%,Crystal Palace
02/01/2022,Nathaniel Clyne,08/01/2022,Illness,50%,Crystal Palace
03/01/2022,Nathaniel Clyne,08/01/2022,Illness,50%,Crystal Palace
04/01/2022,Nathaniel Clyne,08/01/2022,Illness,50%,Crystal Palace
27/12/2022,Nathaniel Clyne,No Return Date,Other,Ruled Out,"Crystal Palace
TRACK
8"
28/12/2022,Nathaniel Clyne,No Return Date,Other,Ruled Out,"Crystal Palace
TRACK
6"
29/12/2022,Nathaniel Clyne,No Return Date,Other,Ruled Out,"Crystal Palace
TRACK
7"
30/12/2022,Nathaniel Clyne,No Return Date,Other,Ruled Out,"Crystal Palace
TRACK
7"
31/12/2022,Nathaniel Clyne,No Return Date,Other,Ruled Out,"Crystal Palace
TRACK
7"
01/01/2022,Nathaniel Phillips,15/01/2022,Head/Face Injury,Ruled Out,Liverpool
02/01/2022,Nathaniel Phillips,15/01/2022,Head/Face Injury,Ruled Out,Liverpool
03/01/2022,Nathaniel Phillips,15/01/2022,Head/Face Injury,Ruled Out,Liverpool
04/01/2022,Nathaniel Phillips,15/01/2022,Head/Face Injury,Ruled Out,Liverpool
26/12/2022,Nathaniel Phillips,15/01/2022,Head/Face Injury,Ruled Out,"Liverpool
TRACK
8"
27/12/2022,Nathaniel Phillips,15/01/2022,Head/Face Injury,Ruled Out,"Liverpool
TRACK
8"
28/12/2022,Nathaniel Phillips,15/01/2022,Head/Face Injury,Ruled Out,"Liverpool
TRACK
4"
29/12/2022,Nathaniel Phillips,15/01/2022,Head/Face Injury,Ruled Out,"Liverpool
TRACK
6"
30/12/2022,Nathaniel Phillips,15/01/2022,Head/Face Injury,Ruled Out,"Liverpool
TRACK
7"
31/12/2022,Nathaniel Phillips,15/01/2022,Head/Face Injury,Ruled Out,"Liverpool
TRACK
7"
01/01/2022,Nick Pope,02/01/2022,Illness,50%,Burnley
02/01/2022,Nick Pope,08/01/2022,Illness,50%,Burnley
03/01/2022,Nick Pope,08/01/2022,Illness,50%,Burnley
04/01/2022,Nick Pope,08/01/2022,Illness,50%,Burnley
31/12/2022,Nick Pope,No Return Date,Illness,Ruled Out,"Burnley
TRACK
7"
01/01/2022,Nicolas N'Koulou,No Return Date,Thigh Injury,Ruled Out,Watford
02/01/2022,Nicolas N'Koulou,No Return Date,Thigh Injury,Ruled Out,Watford
03/01/2022,Nicolas N'Koulou,No Return Date,Thigh Injury,Ruled Out,Watford
04/01/2022,Nicolas N'Koulou,No Return Date,Thigh Injury,Ruled Out,Watford
26/12/2022,Nicolas N'Koulou,No Return Date,Thigh Injury,Ruled Out,"Watford
TRACK
6"
27/12/2022,Nicolas N'Koulou,No Return Date,Thigh Injury,Ruled Out,"Watford
TRACK
8"
28/12/2022,Nicolas N'Koulou,No Return Date,Thigh Injury,Ruled Out,"Watford
TRACK
8"
29/12/2022,Nicolas N'Koulou,No Return Date,Thigh Injury,Ruled Out,"Watford
TRACK
9"
30/12/2022,Nicolas N'Koulou,No Return Date,Thigh Injury,Ruled Out,"Watford
TRACK
9"
31/12/2022,Nicolas N'Koulou,No Return Date,Thigh Injury,Ruled Out,"Watford
TRACK
9"
04/01/2022,Nicolas Pepe,No Return Date,Other,Ruled Out,Arsenal
01/01/2022,Oleksandr Zinchenko,No Return Date,Illness,Ruled Out,Manchester City
02/01/2022,Oleksandr Zinchenko,No Return Date,Illness,Ruled Out,Manchester City
03/01/2022,Oleksandr Zinchenko,No Return Date,Illness,Ruled Out,Manchester City
04/01/2022,Oleksandr Zinchenko,No Return Date,Illness,Ruled Out,Manchester City
02/01/2022,Ollie Watkins,No Return Date,Other,Ruled Out,Aston Villa
03/01/2022,Ollie Watkins,No Return Date,Other,Ruled Out,Aston Villa
04/01/2022,Ollie Watkins,No Return Date,Other,Ruled Out,Aston Villa
01/01/2022,Pablo Fornals,No Return Date,Illness,Ruled Out,West Ham United
02/01/2022,Pablo Fornals,No Return Date,Illness,Ruled Out,West Ham United
03/01/2022,Pablo Fornals,No Return Date,Illness,Ruled Out,West Ham United
04/01/2022,Pablo Fornals,No Return Date,Illness,Ruled Out,West Ham United
29/12/2022,Pablo Fornals,No Return Date,Illness,Ruled Out,"West Ham United
TRACK
5"
30/12/2022,Pablo Fornals,No Return Date,Illness,Ruled Out,"West Ham United
TRACK
5"
31/12/2022,Pablo Fornals,No Return Date,Illness,Ruled Out,"West Ham United
TRACK
5"
26/12/2022,Pablo Mari Villar,No Return Date,Illness,Ruled Out,"Arsenal
TRACK
7"
01/01/2022,Pascal Struijk,No Return Date,Ankle/Foot Injury,Ruled Out,Leeds United
02/01/2022,Pascal Struijk,No Return Date,Ankle/Foot Injury,Ruled Out,Leeds United
03/01/2022,Pascal Struijk,No Return Date,Ankle/Foot Injury,Ruled Out,Leeds United
04/01/2022,Pascal Struijk,No Return Date,Ankle/Foot Injury,Ruled Out,Leeds United
26/12/2022,Pascal Struijk,No Return Date,Ankle/Foot Injury,Ruled Out,"Leeds United
TRACK
9"
27/12/2022,Pascal Struijk,No Return Date,Ankle/Foot Injury,Ruled Out,"Leeds United
TRACK
9"
28/12/2022,Pascal Struijk,No Return Date,Ankle/Foot Injury,Ruled Out,"Leeds United
TRACK
9"
29/12/2022,Pascal Struijk,No Return Date,Ankle/Foot Injury,Ruled Out,"Leeds United
TRACK
9"
30/12/2022,Pascal Struijk,No Return Date,Ankle/Foot Injury,Ruled Out,"Leeds United
TRACK
9"
31/12/2022,Pascal Struijk,No Return Date,Ankle/Foot Injury,Ruled Out,"Leeds United
TRACK
10"
01/01/2022,Patrick Bamford,02/01/2022,Thigh Injury,50%,Leeds United
02/01/2022,Patrick Bamford,02/01/2022,Thigh Injury,50%,Leeds United
03/01/2022,Patrick Bamford,09/01/2022,Thigh Injury,50%,Leeds United
04/01/2022,Patrick Bamford,09/01/2022,Thigh Injury,50%,Leeds United
26/12/2022,Patrick Bamford,No Return Date,Thigh Injury,Ruled Out,"Leeds United
TRACK
9"
27/12/2022,Patrick Bamford,No Return Date,Thigh Injury,Ruled Out,"Leeds United
TRACK
9"
28/12/2022,Patrick Bamford,No Return Date,Thigh Injury,Ruled Out,"Leeds United
TRACK
9"
29/12/2022,Patrick Bamford,No Return Date,Thigh Injury,Ruled Out,"Leeds United
TRACK
9"
30/12/2022,Patrick Bamford,02/01/2022,Thigh Injury,50%,"Leeds United
TRACK
9"
31/12/2022,Patrick Bamford,02/01/2022,Thigh Injury,50%,"Leeds United
TRACK
10"
01/01/2022,Patson Daka,15/01/2022,Thigh Injury,Ruled Out,Leicester City
02/01/2022,Patson Daka,15/01/2022,Thigh Injury,Ruled Out,Leicester City
03/01/2022,Patson Daka,15/01/2022,Thigh Injury,Ruled Out,Leicester City
04/01/2022,Patson Daka,15/01/2022,Thigh Injury,Ruled Out,Leicester City
27/12/2022,Patson Daka,15/01/2022,Thigh Injury,Ruled Out,"Leicester City
TRACK
9"
28/12/2022,Patson Daka,15/01/2022,Thigh Injury,Ruled Out,"Leicester City
TRACK
9"
29/12/2022,Patson Daka,15/01/2022,Thigh Injury,Ruled Out,"Leicester City
TRACK
10"
30/12/2022,Patson Daka,15/01/2022,Thigh Injury,Ruled Out,"Leicester City
TRACK
10"
31/12/2022,Patson Daka,15/01/2022,Thigh Injury,Ruled Out,"Leicester City
TRACK
10"
01/01/2022,Paul Dummett,No Return Date,Calf/Shin/Heel Injury,Ruled Out,Newcastle United
02/01/2022,Paul Dummett,No Return Date,Calf/Shin/Heel Injury,Ruled Out,Newcastle United
03/01/2022,Paul Dummett,No Return Date,Calf/Shin/Heel Injury,Ruled Out,Newcastle United
04/01/2022,Paul Dummett,No Return Date,Calf/Shin/Heel Injury,Ruled Out,Newcastle United
26/12/2022,Paul Dummett,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Newcastle United
TRACK
7"
27/12/2022,Paul Dummett,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Newcastle United
TRACK
7"
28/12/2022,Paul Dummett,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Newcastle United
TRACK
12"
29/12/2022,Paul Dummett,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Newcastle United
TRACK
13"
30/12/2022,Paul Dummett,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Newcastle United
TRACK
12"
31/12/2022,Paul Dummett,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Newcastle United
TRACK
12"
01/01/2022,Paul Pogba,10/01/2022,Groin/Hip/Pelvic Injury,Ruled Out,Manchester United
02/01/2022,Paul Pogba,10/01/2022,Groin/Hip/Pelvic Injury,Ruled Out,Manchester United
03/01/2022,Paul Pogba,10/01/2022,Groin/Hip/Pelvic Injury,Ruled Out,Manchester United
04/01/2022,Paul Pogba,22/01/2022,Groin/Hip/Pelvic Injury,Ruled Out,Manchester United
26/12/2022,Paul Pogba,10/01/2022,Groin/Hip/Pelvic Injury,Ruled Out,"Manchester United
TRACK
7"
27/12/2022,Paul Pogba,10/01/2022,Groin/Hip/Pelvic Injury,Ruled Out,"Manchester United
TRACK
4"
28/12/2022,Paul Pogba,10/01/2022,Groin/Hip/Pelvic Injury,Ruled Out,"Manchester United
TRACK
4"
29/12/2022,Paul Pogba,10/01/2022,Groin/Hip/Pelvic Injury,Ruled Out,"Manchester United
TRACK
4"
30/12/2022,Paul Pogba,10/01/2022,Groin/Hip/Pelvic Injury,Ruled Out,"Manchester United
TRACK
4"
31/12/2022,Paul Pogba,10/01/2022,Groin/Hip/Pelvic Injury,Ruled Out,"Manchester United
TRACK
4"
01/01/2022,Pedro Lomba Neto,No Return Date,Knee Injury,Ruled Out,Wolverhampton Wanderers
02/01/2022,Pedro Lomba Neto,No Return Date,Knee Injury,Ruled Out,Wolverhampton Wanderers
03/01/2022,Pedro Lomba Neto,No Return Date,Knee Injury,Ruled Out,Wolverhampton Wanderers
04/01/2022,Pedro Lomba Neto,No Return Date,Knee Injury,Ruled Out,Wolverhampton Wanderers
26/12/2022,Pedro Lomba Neto,No Return Date,Knee Injury,Ruled Out,"Wolverhampton Wanderers
TRACK
7"
27/12/2022,Pedro Lomba Neto,No Return Date,Knee Injury,Ruled Out,"Wolverhampton Wanderers
TRACK
7"
28/12/2022,Pedro Lomba Neto,No Return Date,Knee Injury,Ruled Out,"Wolverhampton Wanderers
TRACK
7"
29/12/2022,Pedro Lomba Neto,No Return Date,Knee Injury,Ruled Out,"Wolverhampton Wanderers
TRACK
7"
