Team,Inj Players,Christmas-played-games,Number of Fit Players
Arsenal,0,2.0,20
Aston Villa,0,2.0,15
Brentford,4,3.0,16
Brighton,2,3.0,20
Burnley,0,1.0,16
Chelsea,5,3.0,18
Crystal Palace,1,3.0,13
Everton,0,1.0,14
Leeds United,1,1.0,15
Leicester City,4,2.0,16
Liverpool,1,2.0,19
Manchester City,0,3.0,17
Manchester Utd,1,3.0,18
Newcastle Utd,4,1.0,12
Norwich City,2,1.0,16
Southampton,1,2.0,20
Tottenham,2,3.0,19
Watford,4,2.0,17
West Ham,0,3.0,17
Wolves,0,1.0,14
