Name,First Name,Last Name,Team,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days
L. Bailey,Leon,Leon,Aston Villa,7,90.0,Hamstring,32.0,54.0,40.0,0.0,6.0,57.0,0.0,75.0,216.0
M. Cash,Matty,Matty,Aston Villa,3,4.0,Hamstring,41.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,45.0
M. Nakamba,Marvelous,Marvelous,Aston Villa,3,118.0,Groin/Pelvis Injury,0.0,0.0,0.0,0.0,0.0,0.0,7.0,36.0,132.0
M. Sanson,Morgan,Morgan,Aston Villa,12,42.0,Knee Injury,29.0,0.0,18.0,0.0,0.0,12.0,4.0,24.0,498.0
M. Targett,Matt,Matt,Aston Villa,17,13.0,Knock,1.0,61.0,13.0,0.0,0.0,0.0,0.0,0.0,386.0
O. Watkins,Ollie,Ollie,Aston Villa,1,14.0,Knee Injury,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,14.0
T. Mings,Tyrone,Tyrone,Aston Villa,8,2.0,Knee Injury,4.0,27.0,0.0,7.0,2.0,0.0,3.0,51.0,633.0
Trézéguet,Mahmoud Ahmed Ibrahim,Mahmoud Ahmed Ibrahim,Aston Villa,2,0.0,Head Injury,52.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,295.0
B. Mbeumo,Bryan,Bryan,Brentford,2,10.0,Calf/Shin Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
C. Goode,Charlie,Charlie,Brentford,1,11.0,Thigh Muscle Rupture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
