Name,Team,Nationalaty,age,CrsINJURY,Matches Played_x,Minutes / Div By 90_x,Goals_x,Asissts_x,Yellows_x,Reds_x,Total Shots_x,Passes Attemted_x,Passes Total Distance_x,Short Passes_x,Medium Passes_x,Long Passes_x,Cross Passes_x,Head Pases_x,Tackeled_x,Tackeled Dribbels_x,Pressure Applying_x,Blocks_x,Shots Blocks_x,Clearence_x,Touches_x,Touches Defencive Penalty Area_x,Touches Defencive 3RD_x,Touches Mid 3RD_x,Touches Attacking 3RD_x,Touches Attacking Penalty Area_x,Touches Live Game_x,Dribbels Succes_x,Dribbels Attempted_x,Carries_x,Carries To Distance_x,Carries Proggresive_x,Carries Proggresive Foword_x,Carries Tackeled_x,Reciving Passes_x,Fouls Commited_x,Fouls Drawn_x,Tackele Won_x,looseBallRecovered_x,Aerial Duals Won_x,Aerial Duals Lost_x,Matches Played_y,Minutes / Div By 90_y,Goals_y,Asissts_y,Yellows_y,Reds_y,Total Shots_y,Passes Attemted_y,Passes Total Distance_y,Short Passes_y,Medium Passes_y,Long Passes_y,Cross Passes_y,Head Pases_y,Tackeled_y,Tackeled Dribbels_y,Pressure Applying_y,Blocks_y,Shots Blocks_y,Clearence_y,Touches_y,Touches Defencive Penalty Area_y,Touches Defencive 3RD_y,Touches Mid 3RD_y,Touches Attacking 3RD_y,Touches Attacking Penalty Area_y,Touches Live Game_y,Dribbels Succes_y,Dribbels Attempted_y,Carries_y,Carries To Distance_y,Carries Proggresive_y,Carries Proggresive Foword_y,Carries Tackeled_y,Reciving Passes_y,Fouls Commited_y,Fouls Drawn_y,Tackele Won_y,looseBallRecovered_y,Aerial Duals Won_y,Aerial Duals Lost_y,Position_AMF,Position_DF,Position_DMF,Position_FW,Position_MF,Christmas-played-games,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days,Suspended,Knock,Hamstring,Ankle/Foot Injury,Knee Injury,Thigh Muscle Strain,Groin/Pelvis Injury,Illness,Virus,Calf/Shin Injury,Groin Strain,Back Injury,Hip/Thigh Injury,Calf Muscle Strain,Thigh Muscle Rupture,Shoulder Injury,Head Injury,Foot Injury,ACL Knee Ligament Injury,Ankle Ligaments,MCL Knee Ligament Injury,Concussion,Sprained Ankle,Rib Injury,Toe Injury,Achilles tendonitis,Thumb / Wrist Injury
Tanguy Ndombele,Tottenham,0,24,0,13,8.8,2,1,2,0,11,256,3499,126,91,24,4,3,13,1,85,2,1,3,343,4,44,211,113,13,335,13,24,259,1258,776,51,18,302,7,12,10,37,2,3,44,30.0,5,4,4,0,25,1414,19414,706,498,130,11,42,65,17,513,41,4,19,1762,35,306,1159,434,47,1726,81,114,1337,6513,3582,195,57,1456,44,102,48,238,14,21,0,0,0,0,1,3,10.0,0.13333333333333333,23.0,0.038356164383561646,0.2328767123287671,0.04657534246575343,0.0,0.0,0.0,0.0,0.0,0.05,0.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tariq Lamptey,Brighton,1,21,0,10,6.0,0,1,1,0,5,268,3070,137,92,19,24,6,12,4,72,9,2,4,349,12,66,130,174,21,319,11,26,250,1376,923,50,11,312,12,19,6,38,3,9,11,9.8,1,1,4,1,6,500,6346,234,188,56,30,16,17,7,124,15,1,17,635,18,169,278,249,33,544,17,34,417,2572,1683,85,15,466,21,32,10,83,5,12,0,0,1,0,0,3,4.0,0.24666666666666667,17.0,0.5068493150684932,0.0,0.0,0.0,0.019178082191780823,0.0,0.0,0.0038356164383561643,0.12164383561643835,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Richards,Brighton,1,21,0,4,2.0,0,0,0,0,5,26,428,8,14,3,0,0,0,0,10,0,0,0,31,0,3,14,16,0,31,0,1,26,123,59,3,1,29,3,8,4,4,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1.0,0.08,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006575342465753425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teemu Pukki,Norwich City,0,31,1,18,16.5,5,0,2,0,30,253,2862,131,87,14,11,15,10,1,318,11,1,2,393,3,28,176,210,81,351,11,28,236,1009,534,29,22,596,20,16,5,61,10,56,42,38.3,26,4,1,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,30,12,0,0,0,0,0,0,1,0,1,2.0,0.0,5.0,0.0,0.0547945205479452,0.0,0.0,0.0,0.0,0.0,0.0,0.0036529680365296802,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theo Walcott,Southampton,1,32,0,9,4.1,0,0,0,0,6,65,604,33,23,3,3,3,4,2,61,4,0,1,95,1,19,33,49,16,95,1,2,59,321,137,7,2,102,3,6,3,18,3,4,25,20.3,3,3,0,0,36,425,4403,223,134,35,37,18,29,11,345,23,1,6,672,12,99,316,323,69,668,20,49,459,2483,1613,80,41,704,18,35,18,115,8,29,1,0,0,0,0,2,28.0,0.14666666666666667,12.0,0.21095890410958903,0.2602739726027397,0.04657534246575343,0.0,0.0,0.0,0.0,0.0,0.1482876712328767,0.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Thiago Silva,Chelsea,0,37,1,20,17.8,2,1,2,0,16,1418,28001,400,726,271,0,59,19,7,98,35,20,78,1598,213,692,949,69,25,1563,4,5,1081,6152,3872,139,3,1195,8,9,12,183,48,19,34,30.4,2,0,5,1,16,2217,44713,596,1146,450,1,80,27,11,130,35,16,137,2467,329,1192,1383,68,21,2416,2,3,1703,9623,6150,184,3,1881,18,21,17,288,68,22,0,1,0,0,0,3,24.0,0.0,27.0,0.17534246575342466,0.10684931506849316,0.14794520547945206,0.0,0.030136986301369864,0.0,0.005479452054794521,0.003913894324853229,0.05857795172863666,4.0,4.0,2.0,0.0,3.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Partey,Arsenal,0,28,0,15,13.5,1,0,2,0,26,653,10888,257,264,119,1,23,28,10,166,21,3,24,799,44,237,465,157,11,783,9,15,525,2662,1422,49,10,569,24,12,23,120,15,13,33,23.4,0,3,7,0,33,1484,25743,545,629,270,2,30,65,23,357,40,8,38,1743,69,462,1113,298,14,1714,33,46,1293,6664,3814,172,28,1274,37,28,43,278,34,25,0,0,0,0,1,2,8.0,0.3466666666666667,17.0,0.23013698630136986,0.010958904109589041,0.0,0.0,0.0,0.052054794520547946,0.038356164383561646,0.04246575342465753,0.03561643835616438,12.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timothy Castagne,Leicester City,0,26,0,19,17.6,0,0,1,0,2,993,12996,493,360,101,26,68,46,20,254,39,6,41,1184,59,370,555,319,25,1035,13,17,689,2918,1562,70,15,830,10,14,18,135,30,14,34,31.5,2,4,1,0,8,1579,21628,729,656,145,46,92,65,22,370,57,5,67,1848,77,531,903,510,42,1664,15,30,1106,4891,2697,134,17,1327,27,19,40,234,42,45,0,1,0,0,0,2,4.0,0.006666666666666667,27.0,0.19726027397260273,0.0,0.0,0.0,0.0,0.0,0.0,0.001095890410958904,0.03917808219178082,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Todd Cantwell,Norwich City,1,23,0,8,4.9,0,0,2,0,4,154,2078,70,60,16,3,8,15,4,106,2,0,3,215,5,50,109,70,7,210,5,11,159,608,289,15,12,205,6,12,11,32,4,5,34,29.8,6,7,5,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,90,31,0,0,0,1,0,0,0,0,1,6.0,0.24666666666666667,5.0,0.0,0.049315068493150684,0.0,0.0,0.0,0.0,0.0,0.0,0.021526418786692758,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Cleverley,Watford,1,32,1,13,8.2,0,2,1,0,5,307,3921,121,104,68,14,20,17,4,144,10,5,7,372,15,65,162,155,5,321,0,1,175,599,257,9,8,268,17,8,12,67,8,21,34,28.9,4,2,6,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,34,34,0,0,0,0,0,0,0,1,2,20.0,0.03333333333333333,5.0,0.0,0.3150684931506849,0.1095890410958904,0.0,0.0,0.0,0.0,0.0017123287671232876,0.12996575342465752,2.0,3.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
