Name,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days,Suspended,Knock,Hamstring,Ankle/Foot Injury,Knee Injury,Thigh Muscle Strain,Groin/Pelvis Injury,Illness,Virus,Calf/Shin Injury,Groin Strain,Back Injury,Hip/Thigh Injury,Calf Muscle Strain,Thigh Muscle Rupture,Shoulder Injury,Head Injury,Foot Injury,ACL Knee Ligament Injury,Ankle Ligaments,MCL Knee Ligament Injury,Concussion,Sprained Ankle,Rib Injury,Toe Injury,Achilles tendonitis,Thumb / Wrist Injury
Mathias Jørgensen,4,0,5,0,0,43,0,0,0,15,32,109,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mathias Normann,2,5,16,0,0,0,0,0,0,0,0,42,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Doherty,8,7,23,42,21,21,0,0,0,0,20,91,1,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Ritchie,11,0,23,65,135,18,4,0,0,5,16,255,3,3,1,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Matt Targett,17,13,23,1,61,13,0,0,0,0,0,386,0,4,3,2,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Matthew Lowton,9,0,23,24,128,27,0,0,0,4,12,373,2,3,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Matty Cash,3,4,17,41,0,0,0,9,0,0,9,45,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matěj Vydra,7,24,7,33,29,0,0,0,0,0,0,135,0,0,2,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Aarons,1,0,5,0,16,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxwel Cornet,17,32,27,8,23,54,6,6,0,0,16,236,3,1,0,2,0,7,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Michael Keane,10,5,19,13,3,35,0,0,0,0,0,196,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Michael Olise,2,28,7,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail Antonio,21,0,17,104,112,5,3,0,0,0,13,528,2,1,5,1,0,3,1,1,0,0,2,0,0,3,1,1,0,0,0,0,0,0,0,2,0,0,0
Miguel Almirón,8,0,17,24,30,40,0,0,0,0,0,94,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milot Rashica,12,2,5,93,39,0,0,0,0,0,0,214,0,2,1,2,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Elneny,5,24,27,12,0,29,0,0,0,0,0,86,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mohamed Elyounoussi,5,13,17,0,0,29,0,0,0,0,0,42,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Salah,9,0,5,11,27,12,0,0,0,0,0,87,0,0,1,2,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Mohammed Salisu,4,0,17,51,20,0,12,0,0,0,12,225,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan Sanson,12,42,22,29,0,18,0,0,12,4,24,498,3,2,1,0,3,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Moussa Djenepo,10,26,23,52,99,0,0,0,113,15,128,177,3,5,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Moussa Sissoko,12,0,17,0,151,54,0,0,2,0,36,347,5,1,3,1,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
N'Golo Kanté,22,60,17,34,206,29,0,0,0,0,31,379,3,3,7,1,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Naby Keïta,17,52,16,120,72,74,0,0,0,0,0,318,0,3,2,1,0,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Nampalys Mendy,9,0,5,6,44,18,0,0,0,0,24,496,3,1,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nathan Aké,11,2,17,105,64,7,0,0,0,0,28,218,2,1,4,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Nathan Collins,1,18,23,0,0,0,0,0,11,0,11,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Ferguson,2,135,12,170,0,0,0,0,28,0,28,305,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Redmond,11,0,5,80,128,4,0,0,0,0,3,272,1,3,0,3,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Tella,3,0,23,30,32,0,0,0,0,0,0,63,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,15,0,23,75,0,30,0,0,0,0,0,840,0,4,2,1,2,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nathaniel Phillips,3,0,7,19,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Neal Maupay,5,5,22,7,5,0,0,14,0,0,27,298,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Neco Williams,2,48,5,2,0,0,0,0,0,0,0,50,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemanja Matić,12,12,23,0,52,52,0,0,2,7,28,196,6,6,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Nick Pope,6,0,24,34,0,0,0,0,0,0,0,190,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Nicolas Nkoulou,6,9,22,0,0,0,0,0,0,0,76,119,8,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Pépé,2,0,5,0,4,0,0,22,0,0,22,10,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Vlašić,1,9,23,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nélson Semedo,3,0,12,6,33,0,0,0,0,0,0,72,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oghenekaro Etebo,9,0,17,33,12,0,0,0,0,17,17,307,1,3,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Oleksandr Zinchenko,10,29,23,43,58,26,0,0,7,0,7,193,1,5,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Skipp,2,14,16,0,0,0,14,0,0,0,14,14,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ollie Watkins,1,14,22,0,0,0,0,4,0,0,4,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oriol Romeu,7,0,13,121,0,0,7,7,0,0,40,396,6,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ozan Kabak,9,18,23,30,92,0,0,38,0,0,38,198,2,4,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ozan Tufan,2,1,23,11,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Fornals,4,0,9,25,0,0,0,0,0,8,14,54,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Marí,5,1,5,25,0,0,0,0,0,12,34,221,5,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Groß,2,0,5,0,0,117,0,0,0,0,0,117,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Struijk,2,0,23,4,0,0,31,0,0,0,31,37,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Bamford,7,77,5,18,0,0,0,0,0,0,0,133,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patson Daka,1,0,27,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Dummett,19,0,17,111,177,96,0,0,0,0,0,905,0,0,11,0,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paul Pogba,20,0,23,72,276,27,27,0,0,0,48,572,4,6,2,4,0,3,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Pedro Lomba Neto,5,0,22,51,25,0,0,0,0,0,0,221,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelenda Joshua Tunga Dasilva,1,0,16,0,0,0,0,12,0,0,12,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Bardsley,23,9,23,53,25,77,0,0,0,0,43,440,3,5,3,4,2,1,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Jones,34,0,23,0,23,67,0,0,0,0,3,1440,1,10,1,7,4,0,1,3,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Philip Foden,7,14,5,0,10,0,0,0,0,0,0,140,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pierre Emerick Aubameyang,11,6,23,39,7,28,23,0,27,0,50,88,4,3,0,0,0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Højbjerg,5,12,5,0,12,16,0,0,0,8,8,45,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pierre Lees Melou,6,5,4,35,0,61,0,6,5,4,40,146,6,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pontus Jansson,0,0,30,0,0,0,0,0,0,7,40,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Przemysław Płacheta,1,63,29,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raheem Sterling,12,1,23,10,22,12,0,0,0,0,14,233,1,3,0,1,1,1,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Raphael Dias Belloli,8,19,16,39,6,0,0,0,0,0,0,64,0,2,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Raphaël Varane,20,67,17,32,6,11,0,0,0,7,15,461,2,2,6,0,4,2,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan Aït Nouri,12,8,23,56,81,19,0,0,0,0,0,193,0,3,0,0,0,0,2,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Raúl Jiménez,3,0,19,182,0,6,4,0,0,0,4,193,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Reece James,9,23,5,28,72,0,14,0,0,0,14,128,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ricardo Pereira,10,33,13,20,0,0,0,0,0,0,12,495,2,0,2,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richarlison,14,38,23,16,29,45,7,21,0,27,55,150,4,4,0,1,2,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0
Rico Henry,2,2,23,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Riyad Mahrez,1,0,23,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Elliot,8,0,27,0,0,213,0,0,0,0,7,489,1,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rob Holding,6,22,22,15,51,0,0,0,0,0,3,356,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Robert Sánchez,0,0,30,0,0,0,14,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,12,68,23,27,0,11,0,0,0,0,0,184,0,2,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Robin Koch,10,124,7,118,21,52,0,0,0,0,0,315,0,1,0,1,1,0,1,1,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Rodri,5,8,23,1,18,0,0,0,0,14,21,38,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo,15,10,23,98,43,19,0,0,3,3,147,431,7,3,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Romain Perraud,1,0,16,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romain Saïss,6,0,23,35,26,0,0,0,8,0,38,81,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romelu Lukaku,20,53,17,0,0,59,0,0,0,0,2,235,1,1,4,2,1,0,0,0,2,0,1,1,0,0,0,0,1,2,0,1,1,0,0,0,1,0,0
Ross Barkley,17,0,17,58,56,8,0,0,0,0,0,582,0,3,3,2,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruben Loftus Cheek,19,16,23,24,0,56,0,0,0,0,0,673,0,5,2,2,0,1,1,0,1,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ryan Bertrand,23,47,22,62,26,83,0,3,11,14,49,541,4,3,5,2,6,0,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Fraser,21,11,23,123,28,28,0,6,0,0,6,241,1,7,6,2,0,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Fredericks,12,45,16,98,146,87,0,0,12,0,26,376,2,2,0,1,0,2,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ryan Sessegnon,6,60,23,42,86,11,0,0,0,0,0,212,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rúben Dias,1,0,23,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rúben Neves,1,0,29,12,0,0,5,0,0,5,33,12,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sadio Mané,18,0,23,20,24,22,0,0,0,0,27,274,3,5,3,1,1,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Salomón Rondón,9,8,17,0,0,33,0,0,0,0,14,93,1,2,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sam Byram,9,49,23,0,0,0,0,0,0,0,40,776,4,3,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Saman Ghoddos,2,0,6,0,41,31,0,0,127,0,127,72,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saïd Benrahma,2,0,23,14,0,0,0,0,0,3,3,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Saúl Ñíguez,6,0,17,20,0,17,0,3,16,13,76,96,10,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Carson,1,0,29,37,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott McTominay,13,33,23,22,80,57,0,0,0,0,0,196,0,6,0,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sead Kolašinac,17,0,27,41,172,74,0,3,0,0,3,377,1,2,2,3,2,4,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Sean Longstaff,4,0,5,0,161,89,0,0,29,0,29,250,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergi Canós,1,2,23,0,0,0,6,0,0,0,23,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Reguilón,8,12,23,46,0,30,0,0,13,0,13,88,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Shandon Baptiste,1,46,24,0,0,0,0,0,0,4,4,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shane Duffy,4,0,13,0,35,0,11,0,0,18,35,37,4,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Long,28,16,22,0,17,93,0,0,0,0,0,457,0,4,4,3,5,0,1,0,1,2,0,0,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0
Solly March,6,0,5,134,55,15,0,0,0,0,0,208,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Son Heung min,8,24,8,22,43,1,0,0,11,0,116,186,3,0,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Alzate,3,76,5,18,0,0,0,0,0,0,0,164,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Bergwijn,9,29,5,20,115,12,0,0,0,0,7,235,1,2,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuart Armstrong,15,84,13,50,58,37,0,0,0,0,0,229,0,3,2,0,0,1,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Séamus Coleman,34,27,17,72,124,80,0,0,14,0,102,965,2,3,8,2,0,7,1,3,0,0,0,0,2,0,2,0,1,1,0,0,0,0,1,2,0,0,0
Takehiro Tomiyasu,2,6,13,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takumi Minamino,2,11,27,9,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanguy Ndombele,10,20,23,14,85,17,0,0,0,0,0,146,0,4,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tariq Lamptey,4,37,17,185,0,0,0,7,0,0,7,222,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tariqe Fosu,1,0,22,0,0,0,0,0,0,21,21,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Richards,1,12,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teemu Pukki,2,0,5,0,20,0,0,0,0,0,0,20,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theo Walcott,28,22,12,77,95,17,0,0,0,0,0,866,0,2,2,3,1,1,1,2,0,1,1,0,0,5,1,1,1,0,1,0,0,0,0,2,0,0,0
Thiago Alcántara,13,65,13,97,38,35,0,0,3,0,3,374,1,2,0,1,2,0,1,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiago Silva,24,0,27,64,39,54,0,11,0,2,30,449,4,4,2,0,3,8,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Partey,8,52,17,84,4,0,0,0,19,14,186,156,12,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tim Krul,11,0,5,0,38,0,0,0,0,0,0,540,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Timo Werner,8,29,27,6,5,22,0,0,0,0,0,80,0,1,1,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Timothy Castagne,4,1,27,72,0,0,0,0,0,0,4,143,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Todd Cantwell,6,37,5,0,18,0,0,0,0,0,0,55,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Cleverley,20,5,5,0,115,40,0,0,0,0,10,759,2,3,3,4,2,0,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Tom Davies,5,18,23,18,0,0,0,0,0,0,8,96,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Heaton,7,0,12,32,14,0,0,0,0,0,0,647,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Tomáš Souček,1,0,15,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander Arnold,10,18,23,75,4,55,0,0,0,0,0,156,0,3,0,0,1,1,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Trevoh Chalobah,3,13,22,40,0,0,0,2,14,0,16,53,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Roberts,1,0,21,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrick Mitchell,4,0,23,85,0,0,0,0,0,0,0,85,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrone Mings,8,2,22,4,27,0,7,2,0,3,51,633,5,1,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Valentino Livramento,1,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicente Guaita,7,0,12,0,20,16,0,0,0,0,14,136,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Victor Lindelöf,11,5,7,19,14,20,0,0,0,0,0,66,0,1,0,0,0,0,0,1,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,13,13,5,283,3,28,0,0,0,0,15,567,3,2,1,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vitaly Janelt,2,12,26,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vladimír Coufal,1,9,16,0,0,0,7,0,0,0,7,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vontae Daley Campbell,1,16,21,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Robert Hennessey,11,5,23,169,0,31,0,0,0,0,0,317,0,4,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Wesley Fofana,6,0,22,45,75,0,0,0,12,0,12,270,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilfred Ndidi,9,33,17,86,47,2,0,0,0,0,17,190,2,0,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilfried Zaha,21,0,23,60,11,50,2,0,0,10,32,270,5,4,3,2,3,2,2,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Will Hughes,8,26,17,0,45,47,0,0,0,0,24,225,4,2,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
William Smallbone,3,0,22,46,9,0,0,0,0,0,0,315,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
William Troost Ekong,2,0,15,0,0,0,0,0,0,0,7,14,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy Arnaud Zobo Boly,7,19,23,81,88,0,0,0,13,15,28,264,2,3,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy Caballero,1,0,25,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Winston Wiremu Reid,27,64,17,0,76,0,0,0,0,0,21,1067,3,3,7,1,4,0,1,0,0,0,2,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0
Yan Valery,4,0,23,13,101,8,0,0,0,0,0,122,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
