Name,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days,Suspended,Knock,Hamstring,Ankle/Foot Injury,Knee Injury,Thigh Muscle Strain,Groin/Pelvis Injury,Illness,Virus,Calf/Shin Injury,Groin Strain,Back Injury,Hip/Thigh Injury,Calf Muscle Strain,Thigh Muscle Rupture,Shoulder Injury,Head Injury,Foot Injury,ACL Knee Ligament Injury,Ankle Ligaments,MCL Knee Ligament Injury,Concussion,Sprained Ankle,Rib Injury,Toe Injury,Achilles tendonitis,Thumb / Wrist Injury
James Tarkowski,9,0,15,13,0,42,12,0,0,0,38,192,6,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
James Tomkins,31,0,12,137,0,55,0,0,0,7,18,1172,3,5,4,3,2,2,1,2,0,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
James Ward Prowse,7,1,22,20,8,0,25,0,0,0,32,130,2,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie Shackleton,5,26,23,56,0,0,0,0,0,0,0,102,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jamie Vardy,25,1,15,46,24,39,0,0,0,16,51,176,6,0,2,1,0,2,4,1,0,3,7,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Jan Bednarek,5,7,13,7,5,0,0,0,0,3,3,24,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Jannik Vestergaard,10,43,15,47,32,83,0,0,0,0,0,205,0,2,0,0,2,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Japhet Tanganga,5,0,4,86,26,0,3,0,0,0,3,198,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Jarrad Branthwaite,1,0,5,44,0,0,0,0,0,0,0,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrod Bowen,1,0,23,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
